county,state,county_fips,is_ca,year,param,aqs_mean
"Los Angeles, CA",6,37,True,2014,88101,13.962201277777776
"Cook, IL",17,31,False,2014,88101,10.791460096774196
"Harris, TX",48,201,False,2014,88101,10.883681518518518
"Maricopa, AZ",4,13,False,2014,88101,8.589634033057852
"San Diego, CA",6,73,True,2014,88101,8.46373230909091
"Orange, CA",6,59,True,2014,88101,11.97400825
"Miami-Dade, FL",12,86,False,2014,88101,6.49648575
"Dallas, TX",48,113,False,2014,88101,10.008359515151517
"Riverside, CA",6,65,True,2014,88101,13.105877560975609
"Kings, NY",36,47,False,2014,88101,8.88018
"Los Angeles, CA",6,37,True,2014,44201,0.0475730535714285
"Cook, IL",17,31,False,2014,44201,0.0420371249999999
"Harris, TX",48,201,False,2014,44201,0.034942794117647
"Maricopa, AZ",4,13,False,2014,44201,0.05149336
"San Diego, CA",6,73,True,2014,44201,0.0440766547619047
"Orange, CA",6,59,True,2014,44201,0.04391325
"Miami-Dade, FL",12,86,False,2014,44201,0.036308625
"Dallas, TX",48,113,False,2014,44201,0.0441569166666666
"Riverside, CA",6,65,True,2014,44201,0.0535939285714285
"Los Angeles, CA",6,37,True,2019,88101,9.9802236
"Cook, IL",17,31,False,2019,88101,9.371159811188807
"Harris, TX",48,201,False,2019,88101,9.414463855263158
"Maricopa, AZ",4,13,False,2019,88101,6.775419212389382
"San Diego, CA",6,73,True,2019,88101,9.596833533333337
"Orange, CA",6,59,True,2019,88101,8.557390519999998
"Miami-Dade, FL",12,86,False,2019,88101,6.885552558139536
"Dallas, TX",48,113,False,2019,88101,8.910834363636365
"Riverside, CA",6,65,True,2019,88101,8.233784607692307
"Kings, NY",36,47,False,2019,88101,7.592373
"Los Angeles, CA",6,37,True,2019,44201,0.0471450961538461
"Cook, IL",17,31,False,2019,44201,0.04202565
"Harris, TX",48,201,False,2019,44201,0.037149140625
"Maricopa, AZ",4,13,False,2019,44201,0.04935625
"San Diego, CA",6,73,True,2019,44201,0.0444240625
"Orange, CA",6,59,True,2019,44201,0.0458753333333333
"Miami-Dade, FL",12,86,False,2019,44201,0.03465825
"Dallas, TX",48,113,False,2019,44201,0.04311275
"Riverside, CA",6,65,True,2019,44201,0.05127995
"Los Angeles, CA",6,37,True,2021,88101,12.186335285714286
"Cook, IL",17,31,False,2021,88101,9.777529323671498
"Harris, TX",48,201,False,2021,88101,9.857048714285716
"Maricopa, AZ",4,13,False,2021,88101,8.997441803278688
"San Diego, CA",6,73,True,2021,88101,8.530885045454546
"Orange, CA",6,59,True,2021,88101,10.566182340000005
"Miami-Dade, FL",12,86,False,2021,88101,6.586907604651163
"Dallas, TX",48,113,False,2021,88101,8.555494424242426
"Riverside, CA",6,65,True,2021,88101,9.91915017177914
"Kings, NY",36,47,False,2021,88101,7.637719
"Los Angeles, CA",6,37,True,2021,44201,0.0477186428571428
"Cook, IL",17,31,False,2021,44201,0.0435305
"Harris, TX",48,201,False,2021,44201,0.0370073823529411
"Maricopa, AZ",4,13,False,2021,44201,0.0514995151515151
"San Diego, CA",6,73,True,2021,44201,0.04442709375
"Orange, CA",6,59,True,2021,44201,0.0444625
"Miami-Dade, FL",12,86,False,2021,44201,0.035270125
"Dallas, TX",48,113,False,2021,44201,0.0422759166666666
"Riverside, CA",6,65,True,2021,44201,0.0528351718749999
